OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost,LaborCost,Tax,Total
1,Teemoo,Washington,9.25,Laminate,888,1.75,2.10,1554.00,1864.80,316.239000,3735.039000,05-05-2025
5,Mike,Calfornia,25.00,Wood,500,5.15,4.75,2575.00,2575.00,1287.5000,6437.5000,05-05-2025
8,Lux,Texas,4.45,Tile,190,3.50,4.15,665.00,788.50,64.680750,1518.180750,05-05-2025
10,Zoe,Texas,4.45,Carpet,888,2.25,2.10,1998.00,1864.80,171.894600,4034.694600,05-05-2025
11,Swain,Texas,4.45,Wood,234,5.15,4.75,1205.10,1111.50,103.088700,2419.688700,05-05-2025
12,Nunu,Washington,9.25,Carpet,765,2.25,2.10,1721.25,1606.50,307.816875,3635.566875,05-05-2025
1,Pyke,Texas,4.45,Laminate,456,1.75,2.10,798.00,957.60,78.124200,1833.724200,06-08-2025
5,Mike,Calfornia,25.00,Wood,500,5.15,4.75,2575.00,2575.00,1287.5000,6437.5000,06-08-2025
8,Lux,Texas,4.45,Tile,190,3.50,4.15,665.00,788.50,64.680750,1518.180750,06-08-2025
10,Zoe,Texas,4.45,Carpet,888,2.25,2.10,1998.00,1864.80,171.894600,4034.694600,06-08-2025
11,Swain,Texas,4.45,Wood,234,5.15,4.75,1205.10,1111.50,103.088700,2419.688700,06-08-2025
12,Nunu,Washington,9.25,Carpet,765,2.25,2.10,1721.25,1606.50,307.816875,3635.566875,06-08-2025
1,Pyke,Texas,4.45,Laminate,456,1.75,2.10,798.00,957.60,78.124200,1833.724200,06-02-2013
2,Doctor Who,WA,9.25,Wood,243.00,5.15,4.75,1251.45,1154.25,216.51,2622.21,06-02-2013
3,Albert Einstein,KY,6.00,Carpet,217.00,2.25,2.10,488.25,455.70,56.64,1000.59,06-02-2013
5,Mike,Calfornia,25.00,Wood,500,5.15,4.75,2575.00,2575.00,1287.5000,6437.5000,06-02-2013
8,Lux,Texas,4.45,Tile,190,3.50,4.15,665.00,788.50,64.680750,1518.180750,06-02-2013
10,Zoe,Texas,4.45,Carpet,888,2.25,2.10,1998.00,1864.80,171.894600,4034.694600,06-02-2013
11,Swain,Texas,4.45,Wood,234,5.15,4.75,1205.10,1111.50,103.088700,2419.688700,06-02-2013
12,Nunu,Washington,9.25,Carpet,765,2.25,2.10,1721.25,1606.50,307.816875,3635.566875,06-02-2013
1,Ada Lovelace,CA,25.00,Tile,249.00,3.50,4.15,871.50,1033.35,476.21,2381.06,06-01-2013
2,Bda Lovelace,CA,25.00,Tile,249.00,3.50,4.15,871.50,1033.35,476.21,2381.06,06-01-2013
3,Albert Einstein,KY,6.00,Carpet,217.00,2.25,2.10,488.25,455.70,56.64,1000.59,06-01-2013
5,Mike,Calfornia,25.00,Wood,500,5.15,4.75,2575.00,2575.00,1287.5000,6437.5000,06-01-2013
8,Lux,Texas,4.45,Tile,190,3.50,4.15,665.00,788.50,64.680750,1518.180750,06-01-2013
10,Zoe,Texas,4.45,Carpet,888,2.25,2.10,1998.00,1864.80,171.894600,4034.694600,06-01-2013
11,Swain,Texas,4.45,Wood,234,5.15,4.75,1205.10,1111.50,103.088700,2419.688700,06-01-2013
12,Nunu,Washington,9.25,Carpet,765,2.25,2.10,1721.25,1606.50,307.816875,3635.566875,06-01-2013
